Company; Position; Rate; ApplicationDate; Link; Status; StatusDate; Comment
Infinity Software Development, Inc.,; Experienced Software Engineer across a wide array of tech stacks;80-125k;12/29/25; https://www.indeed.com/viewjob?cmp=Infinity-Software-Development%2C-Inc&t=Software+Engineer&jk=44afad355e66185b&q=c%23&xpse=SoDm67I3p2M2W4y4xp0LbzkdCdPP&xfps=19960d90-900e-44d9-876b-d6a52c7ee4ed&xkcb=SoA267M3p2Mar4gR6r0MbzkdCdPP&vjs=3; ;
Savi Gurus; Back-End and application Programming Interface Developer;;12/29/25; https://hosted-apply.jobtarget.com/job/Back-End-and-Application-Programming-Interface-Developer-69526fe70fd0637d4db75ea3?applicantGuid=5d01f951-ab40-41e3-8bfb-11a9258d03b2&applicant_guid=5d01f951-ab40-41e3-8bfb-11a9258d03b2&source=JobTarget%20via%20JobTarget%20Programmatic&utm_source=JobTarget&utm_medium=JobTarget%20Programmatic&utm_campaign=Back-End%20and%20Application%20Programming%20Interface%20Developer%20325ce089-ff73-448f-9758-aa7547e2f843&_jtochash=69526fe70fd0637d4db75ea3&_jtocprof=E97YU95Fkff83AKOO44cs4DcT-iW3k_S; Rejection; 1/12/26; sent offer then revoked it because I'm not in St. Louis
Hy-Tek Intralogistics; Software Developer II;;1/2/26; https://www.linkedin.com/jobs/view/4349529862/; Rejection; 1/5/26
Custom Data Processing Inc; Software Developer;95-110k;1/2/26; https://www.ziprecruiter.com/jobs/job/i?lvk=un55JTbDbPpEMCJPVQwGxw; ;
Ascending; .NET Engineer (Fullstack);;1/2/26; https://www.ziprecruiter.com/jobs/a/b?lk=azF6lY87PRdSckTiq0uf7Q&tsid=111000153; ;
Sparks Group; .Net Application Developer; ;1/2/26; ; ; ; On site Charleston SC
Trimah Technologies LLC; W2 Contract Req: .Net Developer (W2/Remote/USA);50-55/hr;1/2/26; https://www.linkedin.com/jobs/view/4329675400/; ;
Microsoft; Software Engineer; 120-235k;1/2/26; https://apply.careers.microsoft.com/careers/job/1970393556640896?utm_source=jobright&domain=microsoft.com&src=LinkedIn; ;; Remote
Veeva Systems; Technical Consultant - RTSM (Remote); 75-150k; 1/2/26; https://jobright.ai/jobs/info/6897344b8c6d6b4426787036?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1767376386855_2774&utm_medium=email; Rejection; 1/8/26
Sharetec Systems; Senior Full Stack Software Engineer;110-140k;1/2/26; https://jobright.ai/jobs/info/6956fd899f1b381eb2701c5e?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1767376386855_2774&utm_medium=email; ;
National General (Allstate); Software Engineer Senior Consultant II - National General;79-135k/yr; 1/2/26; https://jobright.ai/jobs/info/693bf9fd50bbaf76504f560a?utm_source=1121&imp_id=3673496432511879909__instant_push__1767363016181_9998&utm_medium=email; Rejection; 1/10/26; Job # R24634
U.S. Renal Care; .Net Developer;;1/2/26; https://www.linkedin.com/jobs/view/4326614336/?trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_15257593100&refId=8CWaU1xSa3wMy0yeYh%2BHXg%3D%3D&trackingId=wIJOXyF67XkMpsNUWRFMPQ%3D%3D; ;
USI Holdings Corporation; Software Engineer;100-110k;1/2/26; https://www.glassdoor.com/job-listing/software-engineer-usi-holdings-JV_KO0,17_KE18,30.htm?jl=1009985293301&utm_source=jobalert&utm_medium=email&utm_term=jfytspcon&utm_content=ja-jobpos2-agejp-1009985293301&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jdvku8ttgmsn802-52da9a10a5518a33&cs=1_a1d4f073&s=224&t=JA&pos=102&ja=378462087&guid=0000019b7f3a426e8d86f83f6fbf75b3&jobListingId=1009985293301&vt=e&cb=1767367452929&ctt=1767386643252&srs=EMAIL_JOB_ALERT&gdir=1; ;
Baylor Scott & White Health; Sr Software Developer; 47-73/hr;1/2/26; https://www.glassdoor.com/job-listing/sr-software-developer-baylor-scott-white-health-JV_KO0,21_KE22,47.htm?jl=1009984514066&utm_source=jobalert&utm_medium=email&utm_term=jfytspcon&utm_content=ja-jobpos4-age1d-1009984514066&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jdvku8ttgmsn802-8636bf0854292d6d&cs=1_ea5cab23&s=224&t=JA&pos=104&ja=378462087&guid=0000019b7f3a426e8d86f83f6fbf75b3&jobListingId=1009984514066&vt=e&cb=1767367452929&ctt=1767386656965&srs=EMAIL_JOB_ALERT&gdir=1; ;
Cormac; Full Stack Engineer;; 1/2/26; https://www.glassdoor.com/job-listing/full-stack-engineer-cormac-JV_KO0,19_KE20,26.htm?jl=1009983135257&utm_source=jobalert&utm_medium=email&utm_term=jfytspcon&utm_content=ja-jobpos6-age2d-1009983135257&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jdvku8ttgmsn802-e939b393be512d50&cs=1_21e5c8f6&s=224&t=JA&pos=106&ja=378462087&guid=0000019b7f3a426e8d86f83f6fbf75b3&jobListingId=1009983135257&vt=e&cb=1767367452930&ctt=1767386666363&srs=EMAIL_JOB_ALERT&gdir=1; Rejection; 1/2/26
NTENT; Senior .NET Engineer;;1/2/26; https://www.glassdoor.com/job-listing/senior-net-engineer-ntent-JV_KO0,19_KE20,25.htm?jl=1009983637084&utm_source=jobalert&utm_medium=email&utm_term=jfytspcon&utm_content=ja-jobpos7-age2d-1009983637084&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jdvku8ttgmsn802-b420044e353a484e&cs=1_ebd4630d&s=224&t=JA&pos=107&ja=378462087&guid=0000019b7f3a426e8d86f83f6fbf75b3&jobListingId=1009983637084&ea=1&vt=e&cb=1767367452930&ctt=1767386674013&srs=EMAIL_JOB_ALERT&gdir=1; ;
Cotiviti; Software Engineer;85-125k;1/2/26; https://www.glassdoor.com/job-listing/software-engineer-cotiviti-JV_KO0,17_KE18,26.htm?jl=1009983536338&utm_source=jobalert&utm_medium=email&utm_term=jfytspcon&utm_content=ja-jobpos8-age2d-1009983536338&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jdvku8ttgmsn802-55c830a456750dfa&cs=1_45f0ec90&s=224&t=JA&pos=108&ja=378462087&guid=0000019b7f3a426e8d86f83f6fbf75b3&jobListingId=1009983536338&vt=e&cb=1767367452930&ctt=1767386680296&srs=EMAIL_JOB_ALERT&gdir=1; ;
Changeis; Software Engineer; ;1/2/26; https://www.glassdoor.com/job-listing/software-engineer-changeis-JV_KO0,17_KE18,26.htm?jl=1009982929844&utm_source=jobalert&utm_medium=email&utm_term=jfytspcon&utm_content=ja-jobpos10-age3d-1009982929844&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jdvku8ttgmsn802-7b814b5727f77f9b&cs=1_ad63c9be&s=224&t=JA&pos=110&ja=378462087&guid=0000019b7f3a426e8d86f83f6fbf75b3&jobListingId=1009982929844&ea=1&vt=e&cb=1767367452932&ctt=1767386692942&srs=EMAIL_JOB_ALERT&gdir=1; ;
